,geometry,name
0,POINT (103.7434 1.38512),CHOA CHU KANG
0,POINT (103.7435625 1.377363),CHOA CHU KANG
0,POINT (103.7436 1.3324),JURONG EAST
0,POINT (103.743696333333 1.40020266666667),CHOA CHU KANG
0,POINT (103.7437 1.354289),BUKIT BATOK
0,POINT (103.743731683333 1.39880458333333),CHOA CHU KANG
0,POINT (103.74382 1.33202),JURONG EAST
0,POINT (103.74387 1.34158),JURONG EAST
0,POINT (103.74405 1.33586),JURONG EAST
0,POINT (103.74407 1.34055),JURONG EAST
0,POINT (103.74408 1.40342),WESTERN WATER CATCHMENT
0,POINT (103.7441275 1.384513),CHOA CHU KANG
0,POINT (103.74414 1.39179),CHOA CHU KANG
0,POINT (103.74423 1.34949883333333),BUKIT BATOK
0,POINT (103.74431 1.3625),BUKIT BATOK
0,POINT (103.74432 1.38065),CHOA CHU KANG
0,POINT (103.74446 1.38433),CHOA CHU KANG
0,POINT (103.7445 1.39236),CHOA CHU KANG
0,POINT (103.74459 1.39233),CHOA CHU KANG
0,POINT (103.74482 1.36259),BUKIT BATOK
0,POINT (103.74483 1.33506),JURONG EAST
0,POINT (103.74483 1.38458),CHOA CHU KANG
0,POINT (103.74486 1.38141),CHOA CHU KANG
0,POINT (103.74499 1.3921),CHOA CHU KANG
0,POINT (103.74502 1.38029),CHOA CHU KANG
0,POINT (103.7450615 1.34604566666667),BUKIT BATOK
0,POINT (103.74508 1.38421),CHOA CHU KANG
0,POINT (103.7451 1.37883),CHOA CHU KANG
0,POINT (103.74511 1.34723),BUKIT BATOK
0,POINT (103.74514 1.4019945),CHOA CHU KANG
0,POINT (103.74515 1.38433),CHOA CHU KANG
0,POINT (103.745234783333 1.33965865),JURONG EAST
0,POINT (103.74531 1.38429),CHOA CHU KANG
0,POINT (103.74531 1.3843),CHOA CHU KANG
0,POINT (103.7455 1.39025),CHOA CHU KANG
0,POINT (103.74556 1.34239),JURONG EAST
0,POINT (103.745581 1.35208683333333),BUKIT BATOK
0,POINT (103.7455995 1.40220483333333),CHOA CHU KANG
0,POINT (103.74565 1.33376),JURONG EAST
0,POINT (103.74566 1.33343),JURONG EAST
0,POINT (103.74568 1.33375),JURONG EAST
0,POINT (103.74574 1.33356),JURONG EAST
0,POINT (103.745773833333 1.346624),BUKIT BATOK
0,POINT (103.74587945 1.34188546666667),JURONG EAST
0,POINT (103.74589 1.36581),BUKIT BATOK
0,POINT (103.74591 1.32079),JURONG EAST
0,POINT (103.74591 1.38375),CHOA CHU KANG
0,POINT (103.74598 1.38705),CHOA CHU KANG
0,POINT (103.74602 1.38343),CHOA CHU KANG
0,POINT (103.746103833333 1.346657),BUKIT BATOK
0,POINT (103.746129333333 1.34614666666667),BUKIT BATOK
0,POINT (103.7462385 1.34502333333333),BUKIT BATOK
0,POINT (103.74629 1.33229),JURONG EAST
0,POINT (103.74631 1.38522),CHOA CHU KANG
0,POINT (103.746328166667 1.3858705),CHOA CHU KANG
0,POINT (103.74639695 1.33317448333333),JURONG EAST
0,POINT (103.746410666667 1.40168333333333),CHOA CHU KANG
0,POINT (103.746517 1.398584),CHOA CHU KANG
0,POINT (103.74659 1.33891),JURONG EAST
0,POINT (103.7468 1.33317),JURONG EAST
0,POINT (103.74694 1.33177),JURONG EAST
0,POINT (103.7471525 1.3952125),CHOA CHU KANG
0,POINT (103.74723 1.3953),CHOA CHU KANG
0,POINT (103.74733 1.384108),CHOA CHU KANG
0,POINT (103.747377166667 1.3515965),BUKIT BATOK
0,POINT (103.74741 1.35622),BUKIT BATOK
0,POINT (103.747418666667 1.34014693333333),JURONG EAST
0,POINT (103.74748 1.39707),CHOA CHU KANG
0,POINT (103.7475 1.38041),CHOA CHU KANG
0,POINT (103.7475 1.397),CHOA CHU KANG
0,POINT (103.74754 1.37721),CHOA CHU KANG
